Slide Title,Section Name,Section Level,Level,Supervisory Organization,Position Name,Position ID,Current HC,Future HC,FTE,Country,Stack,Status,DLT,DLT-1,DLT-2,DLT-3,DLT-4,DLT-5,DLT-6
Executive Office,Executive Office,DLT,DLT,Executive Office,Board Secretary,P-EX-1805,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT,Executive Office,Chief Executive Officer,P-EX-3614,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT,Executive Office,Chief of Staff,P-EX-9436,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT,Executive Office,Executive Assistant,P-EX-1459,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Commercial,Chief Commercial Officer,P-COM-0497,1,1,1.0,"CHE, DEU, IRL",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Commercial,Commercial Excellence Manager,P-COM-1052,1,1,1.0,"CHE, DEU, IRL",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Commercial,Pricing Manager,P-COM-7325,1,1,1.0,"CHE, DEU, IRL",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Digital Solutions Group,Business Partner,P-DSG-5654,1,1,1.0,"CHE, IRL",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Digital Solutions Group,Chief Digital Officer,P-DSG-4274,1,1,1.0,"CHE, IRL",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Digital Solutions Group,Digital Portfolio Lead,P-DSG-3253,1,1,1.0,"CHE, IRL",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Digital Solutions Group,Digital Transformation Manager,P-DSG-7586,1,1,1.0,"CHE, IRL",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Digital Solutions Group,PMO Analyst,P-DSG-9542,1,1,1.0,"CHE, IRL",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Finance,Chief Financial Officer,P-FIN-5270,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Finance,Finance Business Partner,P-FIN-1869,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Finance,Financial Planning Manager,P-FIN-6888,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,Finance,Investor Relations Manager,P-FIN-8431,1,1,1.0,"CHE, ESP",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,People & Culture,Chief People Officer,P-HR-8971,1,1,1.0,"CHE, ESP, POL",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,People & Culture,HR Business Partner,P-HR-9088,1,1,1.0,"CHE, ESP, POL",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,People & Culture,Organisational Design Lead,P-HR-8459,1,1,1.0,"CHE, ESP, POL",,Mapped,Aurora Health Group,,,,,,
Executive Office,Executive Office,DLT,DLT-1,People & Culture,Reward Manager,P-HR-1049,1,1,1.0,"CHE, ESP, POL",,Mapped,Aurora Health Group,,,,,,
