Attribute ID,Business Name,Technical Name,FSDM Mapping,Feature,Sourcing Type,Is Reference Data,Requires Gateway Derivation,Current Stage,Status,Assignee,Assigned Team,Approver Team,Approval Status,Acceptance Criteria,Acceptance Met?,Environment,Started Date,Completed Date,Due Date,Blocked Reason,Comments / Handoff Notes,Cycle Number,Addressed By,Forks Into
LD-01,Financial contract ID,SOURCE_FINANCIAL_CONTRACT_ID,FINANCIAL_CONTRACT_ID,Loans Disbursement,Feed-specific (MOR),,,10. Report Build,Done,Clara Vogt,Report Crew,,Approved,"[{""text"": ""Report layout built"", ""done"": true}, {""text"": ""Figures reconciled to GR/GL"", ""done"": true}, {""text"": ""Business owner UAT sign-off"", ""done"": true}]",checked,N/A,,,2026-07-20,,,,,"LD-02, LD-03"
LD-02,Transaction amount,TRANSACTION_AMOUNT,TRANSACTION_AMOUNT,Loans Disbursement,Feed-specific (MIDAS),,,9. Calculator Build,In Progress,Yuki Mori,Calculate Crew,Report Crew,Not Required,"[{""text"": ""Calculator logic built"", ""done"": true}, {""text"": ""Calc output validated"", ""done"": true}]",checked,N/A,,,2026-07-02,,Ready for report build.,,,
LD-03,Product type,FSDM_PRODUCT_TYPE,PRODUCT_TYPE,Loans Disbursement,Reference Data,checked,,5c. Static / Reference Data Source Systems,Done,Hugo Bernard,Data & AI Ref Data Sourcing Crew,FPSL/GL/GR Crew (Control),Approved,"[{""text"": ""Golden source identified"", ""done"": true}, {""text"": ""Reference set version-pinned"", ""done"": true}, {""text"": ""Lookup integrity validated"", ""done"": true}]",checked,PROD,,,2026-06-25,,,,,
CD-01,Counterparty ID,SOURCE_COUNTERPARTY_ID,COUNTERPARTY_ID,Customer Deposits,Reference Data,checked,,3. Data Modelling,Blocked,Lena Hofmann,Data & AI Modelling Crew,Data & AI Gateway Crew,Not Required,"[{""text"": ""Logical model updated in EA"", ""done"": true}, {""text"": ""FSDM mapping confirmed"", ""done"": false}, {""text"": ""Peer review passed"", ""done"": false}]",,N/A,,,2026-06-28,Gateway derivation rule conflicts with FSDM mapping — escalated to Modelling.,,,LD-03,
CD-02,Transaction amount,TRANSACTION_AMOUNT,TRANSACTION_AMOUNT,Customer Deposits,Feed-specific (MIDAS),,,6. FPSL Config,Submitted for Review,Anita Desai,FPSL/GL/GR Crew (Control),FPSL/GL/GR Crew (Control),Pending,"[{""text"": ""FPSL posting key configured"", ""done"": true}, {""text"": ""Sub-ledger posting simulated"", ""done"": true}]",checked,N/A,,,2026-07-05,,Awaiting Control sign-off.,,,CD-03
CD-03,Posting date,POSTING_DATE,POSTING_DATE,Customer Deposits,Feed-agnostic,,,5a. System / Feed-agnostic Sourcing,In Progress,Aisha Khan,Data & AI Feed-agnostic Crew,FPSL/GL/GR Crew (Control),Not Required,"[{""text"": ""Feed-agnostic source mapped"", ""done"": true}, {""text"": ""VEST checks pass"", ""done"": false}, {""text"": ""Row counts reconciled"", ""done"": false}]",,UAT,,,2026-07-08,,,,,
SH-01,Financial contract ID,SOURCE_FINANCIAL_CONTRACT_ID,FINANCIAL_CONTRACT_ID,Securities Holdings,Feed-specific (MOR),,,3. Data Modelling,In Progress,Tomás Silva,Data & AI Modelling Crew,Data & AI Gateway Crew,Not Required,"[{""text"": ""Logical model updated in EA"", ""done"": true}, {""text"": ""FSDM mapping confirmed"", ""done"": true}, {""text"": ""Peer review passed"", ""done"": false}]",,N/A,,,2026-07-07,,,,,
SH-02,Position currency,POSITION_CURRENCY,POSITION_CURRENCY,Securities Holdings,Feed-agnostic,,checked,4. Gateway Derivation,In Progress,Sofia Costa,Data & AI Gateway Crew,Data & AI Feed-agnostic Crew,Not Required,"[{""text"": ""Derivation rule defined"", ""done"": true}, {""text"": ""Unit-tested vs sample feed"", ""done"": true}, {""text"": ""Logic documented"", ""done"": false}]",,N/A,,,2026-06-30,,,,,
SH-03,Counterparty type,SOURCE_COUNTERPARTY_ID_TYPE,COUNTERPARTY_ID_TYPE,Securities Holdings,Reference Data,checked,,2. Posting Model Specifications / Data Requirements,Not Started,,Accounting / Reporting COE (Control Crew),Data & AI Modelling Crew,Not Required,"[{""text"": ""Posting model spec drafted"", ""done"": false}, {""text"": ""Data requirements complete"", ""done"": false}]",,N/A,,,2026-07-14,,,,,
IRS-01,Financial contract ID,SOURCE_FINANCIAL_CONTRACT_ID,FINANCIAL_CONTRACT_ID,Interest Rate Swaps,Feed-specific (MOR),,,7. GL,Submitted for Review,Anita Desai,FPSL/GL/GR Crew (Control),FPSL/GL/GR Crew (Control),Pending,"[{""text"": ""GL account assignment confirmed"", ""done"": true}, {""text"": ""GL posting reconciled"", ""done"": true}]",checked,N/A,,,2026-07-02,,,,,"IRS-02, IRS-03"
IRS-02,Transaction amount,TRANSACTION_AMOUNT,TRANSACTION_AMOUNT,Interest Rate Swaps,Feed-specific (MIDAS),,,8. GR,Approved,Lukas Brandt,FPSL/GL/GR Crew (Control),Calculate Crew,Approved,"[{""text"": ""GR reconciliation rule configured"", ""done"": true}, {""text"": ""GR balances tie out"", ""done"": true}]",checked,N/A,,,2026-06-29,,Approved — ready for calculator build.,,,
IRS-03,Settlement ID,SETTLEMENT_ID,SETTLEMENT_ID,Interest Rate Swaps,Feed-specific (MIDAS),,,6. FPSL Config,Blocked,Lukas Brandt,FPSL/GL/GR Crew (Control),FPSL/GL/GR Crew (Control),Not Required,"[{""text"": ""FPSL posting key configured"", ""done"": true}, {""text"": ""Sub-ledger posting simulated"", ""done"": false}]",,N/A,,,2026-07-07,MOR feed field not yet exposed in DEV — raised with sourcing crew.,,,SH-01,
FX-01,Posting date,POSTING_DATE,POSTING_DATE,FX Spot & Forward,Feed-agnostic,,,3. Data Modelling,Submitted for Review,Lena Hofmann,Data & AI Modelling Crew,Data & AI Gateway Crew,Pending,"[{""text"": ""Logical model updated in EA"", ""done"": true}, {""text"": ""FSDM mapping confirmed"", ""done"": true}, {""text"": ""Peer review passed"", ""done"": true}]",checked,N/A,,,2026-07-07,,,,,
FX-02,Transaction amount,TRANSACTION_AMOUNT,TRANSACTION_AMOUNT,FX Spot & Forward,Feed-specific (MIDAS),,,2. Posting Model Specifications / Data Requirements,In Progress,Marco Reuter,Accounting / Reporting COE (Control Crew),Data & AI Modelling Crew,Not Required,"[{""text"": ""Posting model spec drafted"", ""done"": true}, {""text"": ""Data requirements complete"", ""done"": false}]",,N/A,,,2026-07-10,,,,,
REPO-01,Financial contract ID,SOURCE_FINANCIAL_CONTRACT_ID,FINANCIAL_CONTRACT_ID,Repurchase Agreements,Feed-specific (MOR),,,1. Business Requirements,In Progress,Marco Reuter,Accounting / Reporting COE (Control Crew),Accounting / Reporting COE (Control Crew),Not Required,"[{""text"": ""Business outcome / KDO signed off"", ""done"": true}, {""text"": ""Scope boundaries agreed"", ""done"": true}]",checked,N/A,,,2026-06-27,,Requirements complete — ready to push to modelling.,,,
REPO-02,Posting date,POSTING_DATE,POSTING_DATE,Repurchase Agreements,Feed-agnostic,,,1. Business Requirements,Not Started,,Accounting / Reporting COE (Control Crew),Accounting / Reporting COE (Control Crew),Not Required,"[{""text"": ""Business outcome / KDO signed off"", ""done"": false}, {""text"": ""Scope boundaries agreed"", ""done"": false}]",,N/A,,,2026-06-29,,,,,
